precision,recall
0.232,1.0
0.23223223223223224,1.0
0.23246492985971945,1.0
0.23269809428284854,1.0
0.23293172690763053,1.0
0.23316582914572864,1.0
0.23340040241448692,1.0
0.23363544813695872,1.0
0.23387096774193547,1.0
0.2341069626639758,1.0
0.23434343434343435,1.0
0.2345803842264914,1.0
0.23481781376518218,1.0
0.23505572441742653,1.0
0.23529411764705882,1.0
0.23553299492385787,1.0
0.23577235772357724,1.0
0.23601220752797558,1.0
0.23625254582484725,1.0
0.23649337410805302,1.0
0.23673469387755103,1.0
0.236976506639428,1.0
0.23721881390593047,1.0
0.2374616171954964,1.0
0.23770491803278687,1.0
0.23794871794871794,1.0
0.23819301848049282,1.0
0.23843782117163412,1.0
0.23868312757201646,1.0
0.23892893923789907,1.0
0.23917525773195877,1.0
0.239422084623323,1.0
0.2396694214876033,1.0
0.23991726990692863,1.0
0.2401656314699793,1.0
0.24041450777202072,1.0
0.24066390041493776,1.0
0.24091381100726894,1.0
0.24012474012474014,0.9956896551724138
0.24037460978147762,0.9956896551724138
0.240625,0.9956896551724138
0.24087591240875914,0.9956896551724138
0.24112734864300625,0.9956896551724138
0.2413793103448276,0.9956896551724138
0.24163179916317992,0.9956896551724138
0.2418848167539267,0.9956896551724138
0.24213836477987422,0.9956896551724138
0.24239244491080797,0.9956896551724138
0.2426470588235294,0.9956896551724138
0.24290220820189273,0.9956896551724138
0.2431578947368421,0.9956896551724138
0.2434141201264489,0.9956896551724138
0.24367088607594936,0.9956896551724138
0.24392819429778248,0.9956896551724138
0.2441860465116279,0.9956896551724138
0.24444444444444444,0.9956896551724138
0.24470338983050846,0.9956896551724138
0.2449628844114528,0.9956896551724138
0.24522292993630573,0.9956896551724138
0.2454835281615303,0.9956896551724138
0.24574468085106382,0.9956896551724138
0.24600638977635783,0.9956896551724138
0.2462686567164179,0.9956896551724138
0.24653148345784417,0.9956896551724138
0.2467948717948718,0.9956896551724138
0.24705882352941178,0.9956896551724138
0.24732334047109208,0.9956896551724138
0.24758842443729903,0.9956896551724138
0.2478540772532189,0.9956896551724138
0.24812030075187969,0.9956896551724138
0.24838709677419354,0.9956896551724138
0.24865446716899892,0.9956896551724138
0.24892241379310345,0.9956896551724138
0.24919093851132687,0.9956896551724138
0.24946004319654427,0.9956896551724138
0.24972972972972973,0.9956896551724138
0.25,0.9956896551724138
0.2502708559046587,0.9956896551724138
0.25054229934924077,0.9956896551724138
0.250814332247557,0.9956896551724138
0.2510869565217391,0.9956896551724138
0.2513601741022851,0.9956896551724138
0.25163398692810457,0.9956896551724138
0.25190839694656486,0.9956896551724138
0.2521834061135371,0.9956896551724138
0.25245901639344265,0.9956896551724138
0.2527352297592998,0.9956896551724138
0.25301204819277107,0.9956896551724138
0.2532894736842105,0.9956896551724138
0.2535675082327113,0.9956896551724138
0.25384615384615383,0.9956896551724138
0.25412541254125415,0.9956896551724138
0.2544052863436123,0.9956896551724138
0.25468577728776187,0.9956896551724138
0.25496688741721857,0.9956896551724138
0.25524861878453037,0.9956896551724138
0.2555309734513274,0.9956896551724138
0.2558139534883721,0.9956896551724138
0.25609756097560976,0.9956896551724138
0.2563817980022198,0.9956896551724138
0.25666666666666665,0.9956896551724138
0.25695216907675195,0.9956896551724138
0.2572383073496659,0.9956896551724138
0.25752508361204013,0.9956896551724138
0.2578125,0.9956896551724138
0.2581005586592179,0.9956896551724138
0.25838926174496646,0.9956896551724138
0.25867861142217247,0.9956896551724138
0.2589686098654709,0.9956896551724138
0.25925925925925924,0.9956896551724138
0.2595505617977528,0.9956896551724138
0.25984251968503935,0.9956896551724138
0.26013513513513514,0.9956896551724138
0.26042841037204056,0.9956896551724138
0.26072234762979685,0.9956896551724138
0.26101694915254237,0.9956896551724138
0.26131221719457015,0.9956896551724138
0.26160815402038506,0.9956896551724138
0.2619047619047619,0.9956896551724138
0.26220204313280365,0.9956896551724138
0.2625,0.9956896551724138
0.2627986348122867,0.9956896551724138
0.2630979498861048,0.9956896551724138
0.2633979475484607,0.9956896551724138
0.2636986301369863,0.9956896551724138
0.264,0.9956896551724138
0.2643020594965675,0.9956896551724138
0.2646048109965636,0.9956896551724138
0.26490825688073394,0.9956896551724138
0.26521239954075776,0.9956896551724138
0.2655172413793103,0.9956896551724138
0.26582278481012656,0.9956896551724138
0.2661290322580645,0.9956896551724138
0.2664359861591695,0.9956896551724138
0.26674364896073904,0.9956896551724138
0.26705202312138726,0.9956896551724138
0.2673611111111111,0.9956896551724138
0.26767091541135574,0.9956896551724138
0.2679814385150812,0.9956896551724138
0.2682926829268293,0.9956896551724138
0.2686046511627907,0.9956896551724138
0.2689173457508731,0.9956896551724138
0.2692307692307692,0.9956896551724138
0.26954492415402564,0.9956896551724138
0.26985981308411217,0.9956896551724138
0.27017543859649124,0.9956896551724138
0.27049180327868855,0.9956896551724138
0.2708089097303634,0.9956896551724138
0.2711267605633803,0.9956896551724138
0.27144535840188017,0.9956896551724138
0.27176470588235296,0.9956896551724138
0.27208480565371024,0.9956896551724138
0.27240566037735847,0.9956896551724138
0.2727272727272727,0.9956896551724138
0.2730496453900709,0.9956896551724138
0.2733727810650888,0.9956896551724138
